Client_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
46,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
48,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
50,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
51,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
52,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
53,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
57,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
58,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
61,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
62,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
63,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
65,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
66,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
70,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
71,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
74,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
77,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
78,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
79,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
80,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
82,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
83,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
84,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
86,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
88,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
89,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
91,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
93,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
94,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
95,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
